Model,FPR,TPR,Threshold
Logistic Regression,0.08881394041596402,0.719945970283656,0.7049560597392124
Logistic Regression,0.0893760539629005,0.719945970283656,0.7047466087780543
Logistic Regression,0.0893760539629005,0.7212967131922557,0.704330400673963
Logistic Regression,0.08993816750983699,0.7212967131922557,0.7030887318872308
Logistic Regression,0.08993816750983699,0.7235479513732553,0.69983330676583
Logistic Regression,0.09050028105677346,0.7235479513732553,0.6988784168877703
Logistic Regression,0.09050028105677346,0.7244484466456551,0.6969209180428385
Logistic Regression,0.09106239460370995,0.7244484466456551,0.6963928716915225
Logistic Regression,0.09106239460370995,0.7262494371904548,0.6953270911749125
Logistic Regression,0.09162450815064643,0.7262494371904548,0.6952605228391739
Logistic Regression,0.09162450815064643,0.7266996848266547,0.6950215604599405
Logistic Regression,0.09218662169758292,0.7266996848266547,0.6948193567106029
Logistic Regression,0.09218662169758292,0.7276001800990545,0.6943909142530933
Logistic Regression,0.09274873524451939,0.7276001800990545,0.6941927338278425
Logistic Regression,0.09274873524451939,0.7285006753714544,0.6939010142181959
Logistic Regression,0.09387296233839236,0.7285006753714544,0.6929876155820904
Logistic Regression,0.09387296233839236,0.7289509230076542,0.6927509472527825
Logistic Regression,0.09443507588532883,0.7289509230076542,0.69274583090355
Logistic Regression,0.09443507588532883,0.7330031517334534,0.687404795407781
Logistic Regression,0.09499718943226532,0.7330031517334534,0.6861388060771035
Logistic Regression,0.09499718943226532,0.7334533993696533,0.6846809250832084
Logistic Regression,0.09668353007307476,0.7334533993696533,0.6840007805526087
Logistic Regression,0.09668353007307476,0.7366051328230527,0.6790444722869868
Logistic Regression,0.09724564362001124,0.7366051328230527,0.6789604314422437
Logistic Regression,0.09724564362001124,0.7370553804592526,0.6783460768795062
Logistic Regression,0.09893198426082069,0.7370553804592526,0.6779930129170666
Logistic Regression,0.09893198426082069,0.7375056280954525,0.6776283026063035
Logistic Regression,0.10005621135469364,0.7375056280954525,0.6772592329865565
Logistic Regression,0.10005621135469364,0.7438090950022512,0.6699913404810202
Logistic Regression,0.10061832490163013,0.7438090950022512,0.6699320715956543
Logistic Regression,0.10061832490163013,0.74966231427285,0.6631649435233196
Logistic Regression,0.10118043844856661,0.74966231427285,0.6627099751618832
Logistic Regression,0.10118043844856661,0.7528140477262495,0.6604697277173358
Logistic Regression,0.1017425519955031,0.7528140477262495,0.660383426474549
Logistic Regression,0.1017425519955031,0.7559657811796489,0.6556515393587415
Logistic Regression,0.10230466554243957,0.7559657811796489,0.655057020787353
Logistic Regression,0.10230466554243957,0.7564160288158487,0.6543624741355093
Logistic Regression,0.10286677908937605,0.7564160288158487,0.6542226918051776
Logistic Regression,0.10286677908937605,0.7577667717244484,0.6533572106931965
Logistic Regression,0.10399100618324901,0.7577667717244484,0.6526743581162736
Logistic Regression,0.10399100618324901,0.760018009905448,0.6505939410222056
Logistic Regression,0.1045531197301855,0.760018009905448,0.6505077884599609
Logistic Regression,0.1045531197301855,0.7636199909950473,0.6467991191865212
Logistic Regression,0.10511523327712198,0.7636199909950473,0.6458932920070308
Logistic Regression,0.10511523327712198,0.765420981539847,0.644606313119397
Logistic Regression,0.10567734682405847,0.765420981539847,0.6443607270507139
Logistic Regression,0.10567734682405847,0.7658712291760468,0.6443308750025596
Logistic Regression,0.10623946037099494,0.7658712291760468,0.6436278449645627
Logistic Regression,0.10623946037099494,0.7676722197208464,0.6412916357372763
Logistic Regression,0.10736368746486791,0.7676722197208464,0.6409620806103126
Logistic Regression,0.10736368746486791,0.7685727149932463,0.6398766970353527
Logistic Regression,0.10792580101180438,0.7685727149932463,0.6393047437201929
Logistic Regression,0.10792580101180438,0.769923457901846,0.6377566090421317
Logistic Regression,0.10848791455874086,0.769923457901846,0.6374182879300405
Logistic Regression,0.10848791455874086,0.7730751913552454,0.63391064629546
Logistic Regression,0.1101742551995503,0.7730751913552454,0.6292421605092456
Logistic Regression,0.1101742551995503,0.7735254389914453,0.6280946557256156
Logistic Regression,0.11073636874648679,0.7735254389914453,0.6280228611637726
Logistic Regression,0.11073636874648679,0.7780279153534444,0.6212729333584739
Logistic Regression,0.11129848229342328,0.7780279153534444,0.6211760316602976
Logistic Regression,0.11129848229342328,0.780279153534444,0.6200218451008331
Logistic Regression,0.11298482293423272,0.780279153534444,0.6189254998512644
Logistic Regression,0.11298482293423272,0.7807294011706438,0.6188532774457831
Logistic Regression,0.1135469364811692,0.7807294011706438,0.6187493240774857
Logistic Regression,0.1135469364811692,0.7820801440792435,0.6169808777877936
Logistic Regression,0.11410905002810567,0.7820801440792435,0.61578210043066
Logistic Regression,0.11410905002810567,0.7843313822602431,0.6139795491008635
Logistic Regression,0.11467116357504216,0.7843313822602431,0.6136149177960538
Logistic Regression,0.11467116357504216,0.7847816298964431,0.6133283226800009
Logistic Regression,0.11523327712197864,0.7847816298964431,0.6127708302403392
Logistic Regression,0.11523327712197864,0.785231877532643,0.6120738369451103
Logistic Regression,0.11579539066891512,0.785231877532643,0.6119130712914759
Logistic Regression,0.11579539066891512,0.7861323728050428,0.6114687414464837
Logistic Regression,0.1163575042158516,0.7861323728050428,0.6110182286569784
Logistic Regression,0.1163575042158516,0.7883836109860424,0.6097895953536949
Logistic Regression,0.11691961776278809,0.7883836109860424,0.6088892943095828
Logistic Regression,0.11691961776278809,0.7928860873480414,0.6038719712160598
Logistic Regression,0.11748173130972456,0.7928860873480414,0.603867165547799
Logistic Regression,0.11748173130972456,0.7937865826204412,0.6035987099809145
Logistic Regression,0.11804384485666104,0.7937865826204412,0.6028642467012668
Logistic Regression,0.11804384485666104,0.7964880684376408,0.5999220321363707
Logistic Regression,0.11860595840359753,0.7964880684376408,0.5993667055450491
Logistic Regression,0.11860595840359753,0.8018910400720396,0.590739142709021
Logistic Regression,0.11916807195053401,0.8018910400720396,0.5899436328614514
Logistic Regression,0.11916807195053401,0.8059432687978388,0.582761847416432
Logistic Regression,0.11973018549747048,0.8059432687978388,0.5827084468524899
Logistic Regression,0.11973018549747048,0.8063935164340387,0.5818430789270868
Logistic Regression,0.12085441259134345,0.8063935164340387,0.5808902057405521
Logistic Regression,0.12085441259134345,0.8090950022512382,0.5793282341082436
Logistic Regression,0.12141652613827993,0.8090950022512382,0.5783783822298606
Logistic Regression,0.12141652613827993,0.8095452498874381,0.5782674410716777
Logistic Regression,0.12197863968521641,0.8095452498874381,0.5773855003742765
Logistic Regression,0.12197863968521641,0.8122467357046376,0.5734962307021678
Logistic Regression,0.1225407532321529,0.8122467357046376,0.5734299721165372
Logistic Regression,0.1225407532321529,0.8131472309770373,0.5717022606336831
Logistic Regression,0.12310286677908938,0.8131472309770373,0.5714321335203894
Logistic Regression,0.12310286677908938,0.8153984691580369,0.5684284893742717
Logistic Regression,0.12366498032602585,0.8153984691580369,0.5678820541814008
Logistic Regression,0.12366498032602585,0.819900945520036,0.5602639998854843
Logistic Regression,0.12422709387296234,0.819900945520036,0.5600520096097646
Logistic Regression,0.12422709387296234,0.8212516884286357,0.5580986142497647
Logistic Regression,0.1253513209668353,0.8212516884286357,0.5566346497828641
Logistic Regression,0.1253513209668353,0.8221521837010356,0.5554907622245875
Logistic Regression,0.1259134345137718,0.8221521837010356,0.5549659404876
Logistic Regression,0.1259134345137718,0.8235029266096353,0.5539726092619773
Logistic Regression,0.12647554806070826,0.8235029266096353,0.5527148409747774
Logistic Regression,0.12647554806070826,0.8257541647906349,0.5511774059192803
Logistic Regression,0.12703766160764474,0.8257541647906349,0.5510388903917557
Logistic Regression,0.12703766160764474,0.8262044124268347,0.5509718797024579
Logistic Regression,0.12759977515458124,0.8262044124268347,0.550559787356013
Logistic Regression,0.12759977515458124,0.8307068887888338,0.5437967413560919
Logistic Regression,0.12872400224845418,0.8307068887888338,0.5431361465529465
Logistic Regression,0.12872400224845418,0.8320576316974336,0.5421447301563405
Logistic Regression,0.12928611579539068,0.8320576316974336,0.5419175388828771
Logistic Regression,0.12928611579539068,0.8334083746060333,0.53934365890128
Logistic Regression,0.12984822934232715,0.8334083746060333,0.5388470428117924
Logistic Regression,0.12984822934232715,0.8338586222422333,0.538824038424215
